pna_frequency_axis,pna_power,pna_tr1_linear_magnitude,pna_tr1_magnitude,pna_tr1_phase,pna_tr1_unwrapped_phase
3656060000.0,-30.0,2.171408176422119,6.734828948974609,162.8025665283203,-197.19741821289062
3656100000.0,-30.0,2.1586523056030273,6.683654308319092,162.46958923339844,-197.53041076660156
3656140000.0,-30.0,2.155479907989502,6.670879364013672,162.08010864257812,-197.91989135742188
3656180000.0,-30.0,2.1477761268615723,6.639780521392822,161.3271026611328,-198.6728973388672
3656220000.0,-30.0,2.147588014602661,6.639018535614014,160.55259704589844,-199.44740295410156
3656260000.0,-30.0,2.147326707839966,6.637962341308594,160.06259155273438,-199.93740844726562
3656300000.0,-30.0,2.1443397998809814,6.6258721351623535,159.31332397460938,-200.68666076660156
3656340000.0,-30.0,2.1386969089508057,6.602984428405762,158.6913299560547,-201.3086700439453
3656380000.0,-30.0,2.130620002746582,6.570119857788086,158.22230529785156,-201.77769470214844
3656420000.0,-30.0,2.1289491653442383,6.563305377960205,157.60130310058594,-202.39869689941406
3656460000.0,-30.0,2.129923105239868,6.567278861999512,156.65541076660156,-203.34457397460938
3656500000.0,-30.0,2.125788688659668,6.55040168762207,156.14251708984375,-203.8574676513672
3656540000.0,-30.0,2.128751039505005,6.562497615814209,155.25575256347656,-204.74423217773438
3656580000.0,-30.0,2.121309280395508,6.532079696655273,154.76019287109375,-205.23980712890625
3656620000.0,-30.0,2.120269536972046,6.527821063995361,154.1162567138672,-205.8837432861328
3656660000.0,-30.0,2.11422061920166,6.503005504608154,153.5386505126953,-206.4613494873047
3656700000.0,-30.0,2.1123762130737305,6.495425701141357,152.79974365234375,-207.20025634765625
3656740000.0,-30.0,2.1036787033081055,6.459588050842285,152.1005096435547,-207.8994903564453
3656780000.0,-30.0,2.1021151542663574,6.45313024520874,151.54266357421875,-208.45733642578125
3656820000.0,-30.0,2.093271255493164,6.416510105133057,151.02639770507812,-208.97360229492188
3656860000.0,-30.0,2.09326171875,6.416471481323242,150.35902404785156,-209.64097595214844
3656900000.0,-30.0,2.0838582515716553,6.377363204956055,149.8161163330078,-210.1838836669922
3656940000.0,-30.0,2.0735087394714355,6.334117412567139,149.31614685058594,-210.68385314941406
3656980000.0,-30.0,2.0683233737945557,6.312368869781494,148.80026245117188,-211.19973754882812
3657020000.0,-30.0,2.0646700859069824,6.297012805938721,148.0982208251953,-211.90176391601562
3657060000.0,-30.0,2.059826135635376,6.276611328125,147.38551330566406,-212.61448669433594
3657100000.0,-30.0,2.0606272220611572,6.2799882888793945,146.75213623046875,-213.24786376953125
3657140000.0,-30.0,2.0559606552124023,6.26029634475708,145.97740173339844,-214.02259826660156
3657180000.0,-30.0,2.0461273193359375,6.218653202056885,145.49754333496094,-214.50244140625
3657220000.0,-30.0,2.0449507236480713,6.213657379150391,144.88638305664062,-215.11361694335938
3657260000.0,-30.0,2.040327310562134,6.193997383117676,144.4003143310547,-215.59967041015625
3657300000.0,-30.0,2.0370655059814453,6.1800994873046875,143.49252319335938,-216.50747680664062
3657340000.0,-30.0,2.036162853240967,6.17625093460083,142.9723358154297,-217.0276641845703
3657380000.0,-30.0,2.0370044708251953,6.179839134216309,142.2588653564453,-217.7411346435547
3657420000.0,-30.0,2.0317952632904053,6.157598972320557,141.62435913085938,-218.37564086914062
3657460000.0,-30.0,2.0271196365356445,6.137588024139404,140.96163940429688,-219.03836059570312
3657500000.0,-30.0,2.0211691856384277,6.112053394317627,140.1974639892578,-219.8025360107422
3657540000.0,-30.0,2.0192723274230957,6.103897571563721,139.60633850097656,-220.39366149902344
3657580000.0,-30.0,2.0182080268859863,6.099318504333496,139.02349853515625,-220.97650146484375
3657620000.0,-30.0,2.009927749633789,6.063608646392822,138.39236450195312,-221.60763549804688
3657660000.0,-30.0,2.006485939025879,6.048721790313721,137.7163848876953,-222.2836151123047
3657700000.0,-30.0,1.9977695941925049,6.0109076499938965,137.2330322265625,-222.7669677734375
3657740000.0,-30.0,1.9922665357589722,5.9869489669799805,136.68350219726562,-223.31649780273438
3657780000.0,-30.0,1.980155110359192,5.933984279632568,136.20018005371094,-223.7998046875
3657820000.0,-30.0,1.9782246351242065,5.925512313842773,135.48858642578125,-224.5113983154297
3657860000.0,-30.0,1.9775733947753906,5.922652244567871,134.77137756347656,-225.22862243652344
3657900000.0,-30.0,1.9705092906951904,5.8915696144104,134.1446075439453,-225.85537719726562
3657940000.0,-30.0,1.9637160301208496,5.861573696136475,133.5274200439453,-226.47256469726562
3657980000.0,-30.0,1.9627447128295898,5.857276439666748,133.04519653320312,-226.95480346679688
3658020000.0,-30.0,1.9567792415618896,5.830836772918701,132.40097045898438,-227.59902954101562
3658060000.0,-30.0,1.9534127712249756,5.815880298614502,131.74745178222656,-228.25254821777344
3658100000.0,-30.0,1.9507150650024414,5.803876876831055,131.10740661621094,-228.89259338378906
3658140000.0,-30.0,1.9481734037399292,5.792552471160889,130.2995147705078,-229.7004852294922
3658180000.0,-30.0,1.9495419263839722,5.798651218414307,129.76602172851562,-230.23397827148438
3658220000.0,-30.0,1.9429007768630981,5.769012451171875,128.95899963378906,-231.041015625
3658260000.0,-30.0,1.9417450428009033,5.763844013214111,128.37014770507812,-231.62985229492188
3658300000.0,-30.0,1.9375554323196411,5.745082378387451,127.76860809326172,-232.2313995361328
